iter	Logloss
0	0.680648478
1	0.6681602427
2	0.6567423503
3	0.6458435327
4	0.6369849226
5	0.6277171128
6	0.6220329297
7	0.6125107171
8	0.6057570413
9	0.5984121686
10	0.5917690962
11	0.5862882375
12	0.5803255861
13	0.5746839481
14	0.5697040377
15	0.5647326869
16	0.5592316523
17	0.5550113664
18	0.5506589452
19	0.5463732871
20	0.5428777332
21	0.5394654077
22	0.5376697179
23	0.5340399488
24	0.5313586082
25	0.5288839451
26	0.5263720393
27	0.5242974233
28	0.5221300732
29	0.5202557728
30	0.5180033368
31	0.5160846338
32	0.5148812922
33	0.5131280036
34	0.5114412558
35	0.5094501559
36	0.5087558338
37	0.5075340822
38	0.5068378415
39	0.5054936131
40	0.5042315708
41	0.5031608441
42	0.5018817611
43	0.5008545084
44	0.5000468751
45	0.4993207259
46	0.4987213051
47	0.4978916252
48	0.4967656994
49	0.4957878987
50	0.4948571432
51	0.4941972688
52	0.4935592665
53	0.4926335648
54	0.4917237526
55	0.4910951471
56	0.4905499051
57	0.4900551792
58	0.4893069748
59	0.4889005746
60	0.4882397104
61	0.4876755614
62	0.4872488893
63	0.4868098423
64	0.4865697111
65	0.4860069052
66	0.4857009266
67	0.4851137674
68	0.4847267887
69	0.4842828536
70	0.4839163037
71	0.4835108802
72	0.4830966922
73	0.4828603111
74	0.4822570574
75	0.4818905468
76	0.4815035899
77	0.4811272377
78	0.4808008346
79	0.480386821
80	0.4801995475
81	0.4799201329
82	0.4795332502
83	0.4792987135
84	0.4789985736
85	0.4786392752
86	0.4783665016
87	0.4781065652
88	0.4778283628
89	0.4774779772
90	0.4771942021
91	0.4771534361
92	0.4770142978
93	0.4767980621
94	0.4765406504
95	0.4763632708
96	0.4762448884
97	0.4761354668
98	0.4759446482
99	0.4756816595
100	0.4754385415
101	0.4753631707
102	0.4752582883
103	0.4750254087
104	0.4748904521
105	0.474590225
106	0.4744322015
107	0.4744041114
108	0.4742578699
109	0.4740811924
110	0.4740128682
111	0.4738329377
112	0.4737301876
113	0.4735669882
114	0.4733754851
115	0.4732044631
116	0.4731356243
117	0.4731061868
118	0.4729452374
119	0.4727715642
120	0.4726736804
121	0.472591782
122	0.4724778168
123	0.4724385682
124	0.4723364634
125	0.4722658543
126	0.4722065955
127	0.4720496404
128	0.4719197245
129	0.4718178072
130	0.4717493391
131	0.4715928549
132	0.4715199348
133	0.4713901323
134	0.4713112601
135	0.4712829083
136	0.4711243267
137	0.4709945722
138	0.4709143744
139	0.4708505676
140	0.470808742
141	0.4707693103
142	0.4707003145
143	0.4706448363
144	0.470590592
145	0.470512666
146	0.4704047662
147	0.470311971
148	0.470286907
149	0.4701958996
150	0.4701087818
151	0.4700767018
152	0.4700009517
153	0.4699521799
154	0.4699102408
155	0.4698239166
156	0.4697042391
157	0.4695776154
158	0.4695361997
159	0.4693999306
160	0.4693049029
161	0.4692599987
162	0.4691860277
163	0.4691438532
164	0.4691126323
165	0.4690702441
166	0.4689849228
167	0.468936744
168	0.4688734517
169	0.4688078136
170	0.4687676667
171	0.4687048411
172	0.4686612843
173	0.4685705168
174	0.4684898568
175	0.468440348
176	0.4683661589
177	0.4682903478
178	0.4681851645
179	0.4681552866
180	0.4680650336
181	0.4679830654
182	0.4678646394
183	0.4677663936
184	0.4677173427
185	0.4676604778
186	0.4675948091
187	0.4674718787
188	0.4673803132
189	0.467336473
190	0.4672733683
191	0.4671986691
192	0.4671123558
193	0.4671078754
194	0.4670501384
195	0.4670238186
196	0.4669785264
197	0.4668750982
198	0.466828548
199	0.4667949287
200	0.4667301627
201	0.4666435637
202	0.4665958209
203	0.4664969494
204	0.4664013134
205	0.4663267036
206	0.4662800226
207	0.4662692021
208	0.4662345014
209	0.4661803531
210	0.4661130536
211	0.4660861168
212	0.4660630281
213	0.466028406
214	0.4659846159
215	0.4659720251
216	0.4659328615
217	0.4658879312
218	0.4658826681
219	0.4657916411
220	0.4657257544
221	0.4657133402
222	0.4656311976
223	0.4655903553
224	0.4655751329
225	0.4655384722
226	0.4654953624
227	0.465475773
228	0.4654268442
229	0.4654107933
230	0.4653616333
231	0.4653148346
232	0.4652700765
233	0.4652409704
234	0.4652259137
235	0.4651824093
236	0.4651795292
237	0.4651433525
238	0.465078992
239	0.4650496329
240	0.4650180784
241	0.4650005362
242	0.4649903065
243	0.4649533101
244	0.4649114889
245	0.4648591588
246	0.4648405004
247	0.4648164589
248	0.4647017371
249	0.4647012618
250	0.4646870336
251	0.4645968242
252	0.4645581556
253	0.4645157761
254	0.4645011838
255	0.4644809229
256	0.4644417419
257	0.4643941931
258	0.464367906
259	0.4642614757
260	0.4641888019
261	0.4641492066
262	0.4641188883
263	0.4641136492
264	0.464089732
265	0.4640723163
266	0.4640462145
267	0.464024737
268	0.463986609
269	0.4639679615
270	0.46395275
271	0.4639063153
272	0.463896295
273	0.4638629657
274	0.4638556837
275	0.4638470391
276	0.4637976284
277	0.4637630826
278	0.4637609569
279	0.4637607846
280	0.4637131901
281	0.4637032766
282	0.4636719204
283	0.4636588477
284	0.4636204887
285	0.4635920475
286	0.4635395169
287	0.4635035038
288	0.4634992894
289	0.4634753787
290	0.4634533933
291	0.4634221527
292	0.4633936548
293	0.4633767623
294	0.4633543146
295	0.463332521
296	0.4632969112
297	0.4632734279
298	0.4632249373
299	0.4631892403
300	0.4631275113
301	0.4630839742
302	0.4630540156
303	0.463009796
304	0.4629886499
305	0.4629706564
306	0.4629362632
307	0.4629316586
308	0.4629254449
309	0.4628993388
310	0.4628941106
311	0.46285687
312	0.4628363605
313	0.462779694
314	0.4627337652
315	0.462708385
316	0.4626774083
317	0.4626447592
318	0.462636047
319	0.4626029554
320	0.462592898
321	0.4625780375
322	0.4625474837
323	0.4625180592
324	0.4624631674
325	0.4624258832
326	0.4624010983
327	0.4623858127
328	0.4623702676
329	0.4623262596
330	0.4622935277
331	0.4622461141
332	0.4622142761
333	0.4621892383
334	0.4621831315
335	0.4621344991
336	0.4621076975
337	0.4620738472
338	0.4620599983
339	0.4620165593
340	0.4619527089
341	0.4619222685
342	0.4619023455
343	0.4618551805
344	0.4617807363
345	0.4617161469
346	0.4617067348
347	0.4616127623
348	0.4615953989
349	0.4615789359
350	0.4615511052
351	0.4615105332
352	0.4615005652
353	0.4614645237
354	0.4614255433
355	0.4613845898
356	0.4613326958
357	0.4613040933
358	0.4612475227
359	0.4612201324
360	0.4611774674
361	0.461165136
362	0.4611322188
363	0.4611038518
364	0.4610791388
365	0.4610415254
366	0.4610141874
367	0.4609962419
368	0.4609504177
369	0.4608890659
370	0.4608541494
371	0.4607778586
372	0.4607208498
373	0.4606864043
374	0.4606268642
375	0.4605671301
376	0.4605259433
377	0.4604723117
378	0.4604182855
379	0.4603626284
380	0.4603204191
381	0.4602828318
382	0.4602353463
383	0.4601603418
384	0.4601093156
385	0.4600697138
386	0.4599841766
387	0.4598808705
388	0.4598340609
389	0.4597950063
390	0.459752422
391	0.4597302294
392	0.4596951973
393	0.4596564742
394	0.4595906442
395	0.459544336
396	0.4594882647
397	0.4594238147
398	0.4593726381
399	0.4593084868
400	0.4592517942
401	0.4592259104
402	0.4591896444
403	0.4591224125
404	0.4590832642
405	0.4589979624
406	0.4589467117
407	0.4588715001
408	0.4588245487
409	0.4587776257
410	0.4587059243
411	0.4586210543
412	0.4585850433
413	0.4585113339
414	0.458421881
415	0.4583814159
416	0.4582859935
417	0.4582489513
418	0.4582105748
419	0.4581651169
420	0.4580831357
421	0.4580243958
422	0.4579507039
423	0.4579100294
424	0.4578745918
425	0.4578282793
426	0.4577705728
427	0.4577072086
428	0.457656976
429	0.4575926329
430	0.4575294889
431	0.4574798689
432	0.4573960411
433	0.4573276362
434	0.4572611041
435	0.4572005154
436	0.4571311403
437	0.4570697492
438	0.4570056896
439	0.456962087
440	0.4568785404
441	0.4568129851
442	0.4567742227
443	0.4567103418
444	0.456655498
445	0.456606713
446	0.4565441621
447	0.4564779287
448	0.45643459
449	0.4563971445
450	0.4563612818
451	0.4562886756
452	0.4562553267
453	0.4562083557
454	0.4561423665
455	0.4560875554
456	0.4560409834
457	0.4560067559
458	0.4559567675
459	0.4559018146
460	0.455841215
461	0.4557975383
462	0.4557655456
463	0.4557098689
464	0.4556557751
465	0.4555796238
466	0.4555260423
467	0.4554692603
468	0.4554376273
469	0.4553784469
470	0.4553226046
471	0.4552681292
472	0.4552116633
473	0.4551856182
474	0.4551217831
475	0.4550834764
476	0.4550354196
477	0.4549743839
478	0.4549061011
479	0.4548497355
480	0.4547987246
481	0.4547545966
482	0.4547139461
483	0.4546827339
484	0.4546421771
485	0.4546052287
486	0.4545535593
487	0.4544905527
488	0.4544411398
489	0.4544072044
490	0.4543596971
491	0.4543048337
492	0.4542559681
493	0.4542273219
494	0.4541684643
495	0.4541284701
496	0.4540916721
497	0.4540547389
498	0.4540076109
499	0.4539553812
500	0.4539236806
501	0.4538837975
502	0.4538426979
503	0.4538119173
504	0.4537549609
505	0.4536916599
506	0.4536419527
507	0.4536097768
508	0.4535684308
509	0.4535287026
510	0.4534854402
511	0.453454483
512	0.4534159561
513	0.4533616224
514	0.4533195286
515	0.4532634334
516	0.4532049878
517	0.4531592966
518	0.453122346
519	0.4530541046
520	0.4530093422
521	0.4529580347
522	0.452915313
523	0.4528634256
524	0.4528344197
525	0.4527928535
526	0.4527523491
527	0.4527097822
528	0.4526803381
529	0.4526280343
530	0.452587495
531	0.4525522668
532	0.4525136788
533	0.4524568531
534	0.4524240755
535	0.4523749613
536	0.4523322592
537	0.4522870062
538	0.4522447882
