iter	Passed	Remaining
0	68	34202
1	75	18905
2	82	13602
3	86	10685
4	91	9079
5	97	8040
6	103	7296
7	109	6755
8	115	6298
9	121	5933
10	127	5654
11	132	5403
12	138	5188
13	144	5017
14	149	4848
15	155	4690
16	160	4573
17	166	4461
18	171	4346
19	177	4260
20	183	4176
21	188	4104
22	195	4045
23	200	3973
24	205	3912
25	211	3862
26	216	3801
27	222	3753
28	228	3714
29	234	3670
30	240	3632
31	245	3593
32	251	3554
33	257	3523
34	262	3488
35	268	3458
36	274	3440
37	280	3407
38	286	3383
39	292	3362
40	298	3338
41	304	3315
42	310	3300
43	316	3279
44	322	3265
45	328	3246
46	334	3227
47	340	3210
48	346	3193
49	352	3171
50	358	3158
51	364	3140
52	370	3125
53	376	3112
54	382	3096
55	389	3086
56	395	3071
57	400	3055
58	407	3045
59	413	3034
60	419	3021
61	426	3010
62	432	2996
63	438	2986
64	444	2973
65	450	2962
66	456	2952
67	462	2938
68	468	2925
69	474	2914
70	480	2903
71	486	2893
72	492	2882
73	498	2870
74	506	2868
75	512	2856
76	518	2848
77	525	2843
78	532	2836
79	539	2832
80	546	2825
81	553	2820
82	560	2814
83	566	2807
84	573	2799
85	580	2792
86	587	2786
87	593	2780
88	601	2776
89	608	2769
90	615	2764
91	622	2759
92	629	2752
93	636	2747
94	643	2741
95	650	2738
96	657	2729
97	663	2720
98	669	2711
99	675	2701
100	681	2692
101	688	2686
102	694	2675
103	700	2668
104	705	2655
105	711	2646
106	718	2638
107	724	2629
108	730	2621
109	737	2613
110	743	2605
111	750	2598
112	756	2590
113	762	2582
114	768	2573
115	774	2565
116	781	2559
117	787	2550
118	793	2541
119	799	2532
120	805	2522
121	811	2514
122	817	2504
123	823	2495
124	829	2487
125	835	2479
126	842	2473
127	849	2467
128	855	2460
129	862	2454
130	868	2447
131	874	2439
132	880	2430
133	887	2422
134	892	2414
135	899	2406
136	905	2398
137	911	2389
138	917	2382
139	923	2374
140	929	2367
141	936	2360
142	941	2350
143	947	2343
144	953	2334
145	960	2328
146	966	2321
147	972	2313
148	979	2306
149	984	2298
150	991	2290
151	999	2287
152	1005	2280
153	1012	2274
154	1018	2266
155	1023	2257
156	1029	2249
157	1035	2241
158	1041	2234
159	1047	2226
160	1054	2219
161	1060	2213
162	1068	2208
163	1075	2204
164	1083	2199
165	1090	2193
166	1098	2189
167	1106	2187
168	1113	2181
169	1119	2174
170	1127	2170
171	1134	2163
172	1140	2155
173	1146	2148
174	1153	2142
175	1161	2137
176	1168	2133
177	1177	2130
178	1185	2126
179	1193	2121
180	1200	2116
181	1209	2114
182	1218	2110
183	1227	2108
184	1236	2105
185	1245	2102
186	1254	2099
187	1262	2094
188	1269	2088
189	1277	2084
190	1285	2079
191	1293	2074
192	1298	2066
193	1305	2059
194	1311	2051
195	1317	2043
196	1323	2036
197	1330	2028
198	1336	2021
199	1342	2013
200	1348	2005
201	1355	1999
202	1361	1991
203	1367	1983
204	1373	1976
205	1380	1969
206	1386	1962
207	1393	1955
208	1400	1949
209	1407	1943
210	1414	1937
211	1420	1930
212	1426	1922
213	1433	1915
214	1439	1908
215	1445	1900
216	1452	1893
217	1457	1885
218	1463	1877
219	1470	1870
220	1476	1863
221	1482	1855
222	1488	1848
223	1494	1841
224	1500	1834
225	1507	1827
226	1512	1819
227	1519	1812
228	1525	1804
229	1531	1797
230	1537	1790
231	1543	1783
232	1550	1776
233	1556	1769
234	1562	1761
235	1568	1755
236	1575	1748
237	1581	1740
238	1587	1733
239	1593	1726
240	1600	1719
241	1606	1712
242	1612	1705
243	1618	1698
244	1624	1691
245	1631	1684
246	1637	1677
247	1643	1670
248	1649	1663
249	1655	1655
250	1662	1648
251	1668	1641
252	1673	1634
253	1680	1627
254	1686	1620
255	1692	1613
256	1699	1606
257	1705	1599
258	1712	1593
259	1719	1586
260	1725	1580
261	1732	1573
262	1738	1566
263	1744	1559
264	1750	1552
265	1756	1545
266	1763	1538
267	1769	1532
268	1775	1525
269	1782	1518
270	1788	1511
271	1794	1504
272	1801	1497
273	1806	1490
274	1813	1483
275	1819	1476
276	1825	1469
277	1832	1463
278	1837	1455
279	1843	1448
280	1849	1441
281	1855	1434
282	1862	1428
283	1868	1421
284	1874	1414
285	1880	1407
286	1886	1400
287	1892	1393
288	1898	1386
289	1904	1379
290	1911	1372
291	1917	1365
292	1923	1358
293	1929	1351
294	1935	1344
295	1941	1337
296	1947	1331
297	1953	1324
298	1960	1317
299	1965	1310
300	1970	1302
301	1977	1296
302	1983	1289
303	1989	1282
304	1995	1275
305	2001	1268
306	2007	1262
307	2014	1255
308	2020	1248
309	2026	1242
310	2032	1235
311	2038	1228
312	2044	1221
313	2050	1214
314	2057	1208
315	2063	1201
316	2069	1194
317	2076	1188
318	2083	1181
319	2089	1175
320	2095	1168
321	2101	1161
322	2107	1155
323	2113	1148
324	2117	1140
325	2124	1133
326	2130	1126
327	2136	1120
328	2142	1113
329	2148	1106
330	2154	1099
331	2160	1093
332	2166	1086
333	2172	1079
334	2178	1073
335	2184	1066
336	2191	1060
337	2198	1053
338	2204	1046
339	2210	1040
340	2216	1033
341	2223	1027
342	2229	1020
343	2235	1013
344	2241	1007
345	2247	1000
346	2254	994
347	2260	987
348	2267	980
349	2273	974
350	2279	967
351	2285	960
352	2291	954
353	2298	947
354	2304	941
355	2310	934
356	2316	928
357	2323	921
358	2329	914
359	2335	908
360	2342	901
361	2348	895
362	2355	888
363	2361	882
364	2367	875
365	2373	869
366	2380	862
367	2387	856
368	2393	849
369	2399	843
370	2406	836
371	2412	829
372	2418	823
373	2424	816
374	2431	810
375	2437	803
376	2443	797
377	2450	790
378	2456	784
379	2462	777
380	2469	771
381	2475	764
382	2481	758
383	2488	751
384	2494	745
385	2501	738
386	2508	732
387	2514	725
388	2520	719
389	2527	712
390	2533	706
391	2539	699
392	2545	693
393	2551	686
394	2557	679
395	2564	673
396	2570	666
397	2576	660
398	2583	654
399	2589	647
400	2595	640
401	2602	634
402	2608	627
403	2615	621
404	2621	614
405	2627	608
406	2634	601
407	2640	595
408	2647	588
409	2653	582
410	2659	575
411	2665	569
412	2671	562
413	2677	556
414	2684	549
415	2690	543
416	2697	536
417	2703	530
418	2709	523
419	2715	517
420	2722	510
421	2728	504
422	2734	497
423	2741	491
424	2747	484
425	2753	478
426	2760	471
427	2766	465
428	2772	458
429	2779	452
430	2785	445
431	2791	439
432	2799	433
433	2805	426
434	2812	420
435	2818	413
436	2824	407
437	2831	400
438	2837	394
439	2844	387
440	2850	381
441	2856	374
442	2863	368
443	2870	361
444	2876	355
445	2883	349
446	2889	342
447	2896	336
