iter	Passed	Remaining
0	33	17027
1	52	13431
2	75	12816
3	188	24005
4	216	22036
5	241	20400
6	260	18808
7	276	17442
8	291	16337
9	306	15434
10	322	14735
11	338	14146
12	354	13645
13	369	13157
14	384	12769
15	400	12437
16	417	12174
17	433	11928
18	450	11716
19	466	11491
20	481	11278
21	497	11107
22	512	10910
23	527	10757
24	542	10592
25	558	10465
26	574	10346
27	589	10207
28	604	10089
29	619	9979
30	635	9884
31	652	9808
32	668	9722
33	684	9647
34	700	9560
35	714	9468
36	730	9392
37	746	9330
38	761	9261
39	776	9184
40	792	9121
41	808	9065
42	823	8999
43	840	8963
44	856	8912
45	872	8855
46	887	8803
47	904	8766
48	920	8717
49	939	8699
50	958	8683
51	975	8648
52	992	8615
53	1010	8585
54	1026	8543
55	1040	8487
56	1054	8439
57	1069	8393
58	1084	8348
59	1100	8305
60	1116	8276
61	1132	8238
62	1148	8202
63	1165	8176
64	1181	8145
65	1197	8108
66	1217	8102
67	1233	8071
68	1249	8040
69	1264	7999
70	1279	7966
71	1295	7936
72	1309	7894
73	1323	7853
74	1337	7812
75	1353	7782
76	1369	7751
77	1383	7713
78	1397	7678
79	1411	7638
80	1423	7593
81	1437	7558
82	1451	7517
83	1465	7482
84	1478	7446
85	1493	7414
86	1506	7377
87	1520	7343
88	1535	7312
89	1547	7274
90	1561	7242
91	1576	7215
92	1593	7195
93	1607	7165
94	1622	7138
95	1636	7109
96	1651	7082
97	1666	7055
98	1678	7018
99	1692	6991
100	1707	6964
101	1723	6945
102	1738	6918
103	1752	6890
104	1767	6867
105	1781	6841
106	1797	6818
107	1811	6794
108	1825	6766
109	1839	6740
110	1853	6714
111	1868	6690
112	1883	6667
113	1898	6644
114	1912	6619
115	1927	6595
116	1939	6565
117	1954	6541
118	1968	6519
119	1985	6501
120	2001	6483
121	2015	6458
122	2031	6440
123	2045	6416
124	2061	6399
125	2079	6386
126	2096	6370
127	2112	6354
128	2129	6339
129	2145	6321
130	2161	6301
131	2179	6291
132	2195	6273
133	2210	6253
134	2221	6218
135	2235	6196
136	2249	6174
137	2263	6149
138	2280	6135
139	2296	6118
140	2310	6096
141	2325	6076
142	2340	6055
143	2352	6029
144	2367	6009
145	2382	5989
146	2399	5973
147	2411	5948
148	2426	5927
149	2441	5908
150	2456	5890
151	2472	5871
152	2486	5850
153	2501	5830
154	2515	5811
155	2531	5794
156	2547	5775
157	2562	5757
158	2579	5743
159	2596	5728
160	2610	5708
161	2625	5688
162	2640	5669
163	2655	5651
164	2671	5634
165	2688	5620
166	2703	5602
167	2719	5584
168	2733	5564
169	2747	5543
170	2762	5524
171	2777	5506
172	2795	5493
173	2808	5471
174	2821	5448
175	2837	5432
176	2850	5410
177	2864	5391
178	2879	5372
179	2895	5356
180	2908	5335
181	2921	5313
182	2934	5292
183	2949	5273
184	2961	5251
185	2976	5233
186	2992	5216
187	3007	5198
188	3021	5179
189	3037	5162
190	3052	5146
191	3067	5127
192	3081	5109
193	3094	5088
194	3108	5069
195	3122	5050
196	3137	5032
197	3150	5012
198	3163	4991
199	3178	4974
200	3193	4956
201	3207	4938
202	3221	4920
203	3235	4900
204	3248	4880
205	3264	4864
206	3278	4846
207	3292	4827
208	3308	4811
209	3321	4791
210	3336	4775
211	3351	4758
212	3369	4745
213	3383	4727
214	3399	4712
215	3413	4693
216	3428	4676
217	3443	4659
218	3458	4642
219	3472	4624
220	3487	4608
221	3502	4590
222	3515	4572
223	3529	4554
224	3544	4537
225	3559	4520
226	3573	4502
227	3585	4482
228	3602	4467
229	3617	4450
230	3632	4434
231	3647	4417
232	3663	4402
233	3679	4386
234	3693	4369
235	3708	4352
236	3723	4336
237	3738	4319
238	3752	4301
239	3768	4286
240	3783	4269
241	3797	4252
242	3813	4237
243	3829	4221
244	3843	4204
245	3859	4188
246	3874	4172
247	3889	4156
248	3904	4139
249	3919	4123
250	3933	4106
251	3947	4088
252	3961	4070
253	3976	4054
254	3991	4038
255	4007	4023
256	4023	4007
257	4038	3991
258	4053	3975
259	4069	3959
260	4085	3944
261	4099	3927
262	4115	3911
263	4129	3894
264	4144	3878
265	4161	3864
266	4175	3847
267	4191	3831
268	4206	3815
269	4221	3799
270	4236	3782
271	4251	3766
272	4267	3751
273	4281	3734
274	4293	3715
275	4307	3699
276	4322	3682
